artist_a,artist_b
4508,15666
249425,1134194
249425,1157773
249425,1151848
61688,1265340
249425,547966
976,42450
1655,99566
184318,2188492
1743,107148
15247,2214339
15666,261245
10792,73997
23252,39274
49429,1411572
2169,2671473
5444,406142
35448,366389
52672,154420
3082022,3163819
1745,31074
32266,32513
3417,107140
12299,34491
264715,597064
5444,37740
5444,41094
387,859029
64218,857768
156553,1225689
35917,154420
42744,154420
4538,44946
4538,48773
24110,104711
38658,955810
6083,2699077
340,80797
15689,97546
123477,621526
53429,370191
42565,52178
35917,119150
35917,52672
33086,228902
35448,797617
37975,1913431
263726,876472
10439,165131
35917,42744
103690,172816
114944,2805507
1810,8619
1810,3427
4759,1213913
976,33946
4021,773749
1810,31071
35917,799508
288785,447781
350356,2270425
267740,3045867
23375,30049
1810,64218
32266,369233
37975,1560052
1156,196246
1156,46922
267740,582629
1156,5425
39150,154420
39150,52672
1156,278144
39150,42744
1156,5455
1156,364411
1156,988903
12299,23395
12299,15747
37975,1913427
1156,16218
35917,39150
1743,122430
39988,534026
4022,86247
5189,943671
42255,850298
1607,1195370
22492,454795
12299,389988
62341,1241136
53180,1878893
5934,2813649
37975,1913430
4293,144883
22492,220984
5512,63502
1723885,2866309
49595,142344
1260887,1260888
42255,934259
39360,1883030
4538,1306437
30570,683355
103690,868977
73294,263820
4508,88924
15667,16162
42255,326348
165034,3163819
105082,407214
1344,33086
113388,240185
165034,3082022
4688,942969
37740,122653
14410,2667227
1344,228902
2169,4759
8713,1716089
33972,44285
4508,33800
1766,2588
101,2175043
1743,140153
4508,186190
1766,272026
35448,76076
2169,1213913
1766,35448
12100,241502
3415,79879
42744,52672
35448,52910
4508,145096
8619,31071
8619,64218
101,276118
4508,135627
2169,4282
1786,770882
1803,859029
1748,1579381
1810,1466537
35448,132339
1812,1265455
159397,1780924
12299,34560
101,2175044
5381,277971
14410,90486
35448,272026
4335,31747
12299,38633
12299,41660
3722,529335
12299,45037
12299,47856
1743,2461
39360,387208
21791,1104846
5232,35448
53429,59694
1460,1745
4324,2460900
1629,1005880
34596,69494
16218,152767
31442,42450
121364,350198
23375,52910
14284,68339
35448,433186
33953,387208
42495,186223
12299,70429
30049,387044
37740,887846
37740,835199
23375,37354
23375,34470
37740,111375
30049,46922
4021,2219475
31299,857768
5189,314137
14125,323034
1417335,1749093
73485,646501
30049,53429
5189,147419
30049,34470
42495,416691
30049,37354
53429,167651
12299,32512
30049,167651
15666,45711
405288,520676
3455,320463
34596,2467045
34596,813480
33953,39360
4021,1110796
40217,77993
23342,117574
37740,520805
39987,1265340
39987,511527
52487,954622
1460,104475
35448,364411
1460,989421
1460,142197
30049,34397
53429,371185
3648,1487462
37740,445945
117906,207781
123,835239
23375,186096
5263,118351
172584,282861
2461,4508
38345,113567
3415,31299
5371,38661
4514,5445
4514,5381
184318,413229
137341,320578
2489,126829
4772,64218
5381,53429
3467,222191
142197,989421
3415,857768
9746,537706
174460,2947183
2021,85210
5381,5445
1748,1108737
23375,356872
23375,354504
33954,122499
33453,122043
172584,1766272
172584,782790
5381,23903
172584,181012
5232,364411
14410,31404
5372,183774
23375,256318
3415,526142
1766,47596
1893877,1893878
38345,38418
5436,99537
5436,351081
5436,438549
44285,1876562
5436,36144
3417,4508
35448,99537
1766,23412
15666,1713733
5381,371185
23375,99537
23231,122499
123,835240
1745,142197
33980,360945
46580,161166
5189,53429
5189,5381
43802,1933807
38345,195901
1745,989421
38345,45916
156512,2273477
23375,240501
5189,371185
4761,165061
23375,34397
35448,109620
5436,23375
4538,185940
5436,8827
4514,42728
12299,1114177
123,396958
34596,49871
157438,1913431
110033,2060991
110033,2060990
42255,123503
42255,664639
53429,130459
157438,2022523
2461,42992
15247,462552
150958,475971
15247,42255
15247,123503
3331,600527
2489,42450
39082,52672
15247,664639
33972,46698
4761,146046
647084,1810316
5372,42728
4761,33945
4761,38661
33926,1186171
303,117906
37903,134219
12299,44835
10689,489922
12299,41124
30049,2129183
3698,5381
1607,832156
3698,4514
110033,2060988
3467,479842
3467,1100345
30049,211247
184318,555967
312,35917
42744,323294
12299,405367
42495,122653
99555,1726999
69501,82361
4335,457593
194563,1485303
3417,3461
42495,318063
42495,902563
5300,5437
265780,1234481
312,33964
340977,814939
387,49910
265780,1599273
37982,79495
3273,43390
1812,529412
53429,176446
1626,1055003
8692,261810
1743,464271
1626,222633
89032,143865
89032,165131
89032,799508
44285,1695620
12299,619568
34596,115509
15689,285015
16167,16188
16167,34397
16167,277971
16179,239292
16218,32799
16218,142665
34596,404811
8692,261819
23375,38546
1954,186354
33954,33982
4510,15247
121468,1612132
121468,316780
379,844205
194563,319185
99555,2090385
194563,316104
119043,326748
74761,87491
5498,1047454
99555,1620445
4510,462552
73485,365148
1743,37740
165131,3187958
49871,115509
33945,2024575
5498,30404
23231,30568
101,206426
32752,1746516
165131,1019431
14284,122728
387,363226
110033,195176
46580,1749026
210790,276170
232042,814939
104636,381606
33946,58163
1156,47596
265780,314360
165131,314934
105832,1715945
33964,35917
976,206426
115509,404811
165131,799508
94739,186187
23375,973492
105832,2275427
23375,973490
4324,832156
4021,4510
35917,910112
265048,386138
12299,271579
12299,271576
37740,46947
37740,47856
37740,153198
2021,595236
40034,272487
40034,91476
37740,464271
53135,96694
10792,814939
12299,47881
99555,556751
2461,2943
4022,14907
40034,768139
284233,420699
104471,914149
2461,41651
23375,973489
24281,2784531
23375,509082
4594,489922
99555,1128535
32752,671163
30323,144275
49871,404811
122499,172816
74761,367671
5263,5269
4293,785583
8692,200409
4021,1164977
4293,9414
33945,146046
4293,144872
